*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
0010,Buildings,Fixed Asset,20% (VAT on Expenses),Buildings that are owned and controlled by the business,No,No,No,
0011,Less Accumulated Depreciation on Buildings,Fixed Asset,No VAT,The total amount of buildings costs that have been consumed by the business (based on the useful life),No,No,No,
0012,Leasehold Property Improvements Depreciation,Fixed Asset,20% (VAT on Expenses),,No,No,No,
0020,Plant & Machinery,Fixed Asset,20% (VAT on Expenses),Plant and machinery that are owned and controlled by the business,No,No,No,
0021,Less Accumulated Depreciation on Plant and Machinery,Fixed Asset,No VAT,The total amount of plant and machinery cost that has been consumed by the business (based on the useful life),No,No,No,
0030,Computer Equipment,Fixed Asset,20% (VAT on Expenses),Computer equipment that is owned and controlled by the business,No,Yes,No,
0031,Less Accumulated Depreciation on Computer Equipment,Fixed Asset,No VAT,The total amount of computer equipment costs that has been consumed by the business (based on the useful life),No,No,No,
0032,Computer Equipment Additions,Fixed Asset,20% (VAT on Expenses),,No,No,No,
0040,Furniture,Fixed Asset,20% (VAT on Expenses),Office equipment that is owned and controlled by the business,No,Yes,No,
0041,Less Accumulated Depreciation on Furniture,Fixed Asset,No VAT,The total amount of office equipment costs that has been consumed by the business (based on the useful life),No,No,No,
0050,Motor Vehicles,Fixed Asset,20% (VAT on Expenses),Motor vehicles that are owned and controlled by the business,No,No,No,
0051,Less Accumulated Depreciation on Motor Vehicles,Fixed Asset,No VAT,The total amount of motor vehicle costs that has been consumed by the business (based on the useful life),No,No,No,
0060,Cycle to Work Scheme,Fixed Asset,20% (VAT on Expenses),The value added to the leased premises via improvements,No,No,No,
0061,Less Accumulated Depreciation on Cycle to Work Scheme,Fixed Asset,No VAT,,No,No,No,
0070,Tech Scheme,Fixed Asset,20% (VAT on Expenses),,No,No,No,
0303,M vehicles-disposals,Fixed Asset,20% (VAT on Expenses),,No,No,No,
0314,M vehicles depreciation on disposals,Fixed Asset,20% (VAT on Expenses),,No,No,No,
1100,Accounts Receivable,Accounts Receivable,No VAT,Invoices the business has issued but has not yet collected payment on,No,No,No,
1101,Debtors Clearing Account,Current Asset,No VAT,,No,No,Yes,
1102,Sundry Debtors,Current Asset,No VAT,,No,No,No,
1103,Prepayments,Current Asset,No VAT,An expenditure that has been paid for in advance,No,No,No,
1106,Personal/Staff Loan,Current Asset,No VAT,,No,Yes,No,
1107,Salary Sacrifice,Current Asset,No VAT,,No,No,No,
1205,BGP Current Account,Bank,No VAT,,No,No,No,
1207,BGP VAT Account,Bank,No VAT,,No,No,No,
1208,BGP Growth Account,Bank,No VAT,,No,No,No,
1209,BGP USD Account,Bank,No VAT,,No,No,No,
1211,Flagstone,Bank,No VAT,,No,No,No,
1230,Revolut,Bank,No VAT,,No,No,No,
1231,Pleo,Bank,No VAT,,No,No,No,
1500,Interco - BGPRE,Current Asset,No VAT,,No,No,No,
1501,Interco - BGP 55 Wells Street,Current Asset,No VAT,,No,No,No,
2100,Accounts Payable,Accounts Payable,No VAT,Invoices the company has received from suppliers but have not made payment on,No,No,No,
2101,Creditors Clearing Account,Current Liability,No VAT,,No,No,No,
2105,TP Directors Loan,Current Liability,No VAT,,No,No,No,
2107,WB Directors' Loan Account,Current Liability,No VAT,Monies owed to or from company directors,No,No,No,
2109,Accruals,Current Liability,No VAT,Any services the business has received but have not yet been invoiced for e.g. Accountancy Fees,No,No,No,
2110,RBS Directors' Loan Account,Current Liability,No VAT,,No,No,No,
2113,CR Directors' Loan Account,Current Liability,No VAT,,No,No,No,
2114,JB Directors' Loan Account,Current Liability,No VAT,,No,No,No,
2202,VAT Liability,VAT,No VAT,"The balance in this account represents VAT owing to or from the HMRC. At the end of the VAT period, it is this account that should be used to code against either the ‘refunds from’ or ‘payments to’ the HMRC that will appear on the bank statement. Xero has been designed to use only one VAT account to track VAT on income and expenses, so there is no need to add any new VAT accounts to Xero",No,No,No,
2210,PAYE Payable,Current Liability,No VAT,The Amount of PAYE tax due to be paid to the HMRC,No,No,No,
2211,NIC Payable,Current Liability,No VAT,The amount of a business' portion of National Insurance Contribution that is due to be paid to the HMRC,No,No,No,
2220,Wages Payable - Payroll,Current Liability,No VAT,"Where this account is set as the nominated Wages Payable account within Payroll Settings, Xero allocates the net wage amount of each pay run created using Payroll to this account",No,No,No,
2230,Pensions Payable,Current Liability,No VAT,Payroll pension payable account,No,No,No,
